Data,Open,High,Low,Close,Volume,Market Cap
28/03/2018,"0,154334","0,163412","0,145778","0,148184",25.772,2.170.280
27/03/2018,"0,166780","0,169858","0,151428","0,154369",9.642,2.316.700
26/03/2018,"0,157201","0,171723","0,151295","0,167033",24.061,2.156.640
25/03/2018,"0,172558","0,185952","0,150315","0,158574",19.457,2.337.760
24/03/2018,"0,157043","0,182220","0,154518","0,181266",20.946,2.100.640
23/03/2018,"0,177166","0,178205","0,140648","0,154789",17.036,2.339.490
22/03/2018,"0,163152","0,187060","0,149448","0,177098",31.576,2.123.740
21/03/2018,"0,142278","0,164829","0,135076","0,163450",33.869,1.823.540
20/03/2018,"0,135402","0,155585","0,114003","0,142019",17.921,1.709.420
19/03/2018,"0,123004","0,136816","0,114850","0,133908",28.831,1.531.040
18/03/2018,"0,133675","0,135941","0,116255","0,123524",19.217,1.640.380
17/03/2018,"0,138566","0,138566","0,102745","0,134001",20.752,1.677.200
16/03/2018,"0,116144","0,146438","0,110435","0,138326",28.215,1.386.010
15/03/2018,"0,098485","0,124772","0,086956","0,114817",20.136,1.158.270
14/03/2018,"0,095405","0,106369","0,076626","0,098529",13.457,669.180
13/03/2018,"0,101779","0,115449","0,058406","0,095392",14.090,713.884
12/03/2018,"0,104588","0,120018","0,043632","0,102367",6.196,733.585
11/03/2018,"0,109696","0,121665","0,091047","0,104918",2.630,769.419
10/03/2018,"0,103050","0,125732","0,092895","0,110076",11.231,722.801
09/03/2018,"0,113101","0,128498","0,084137","0,103006",8.511,793.298
08/03/2018,"0,143287","0,144722","0,112621","0,113821",11.134,1.005.030
07/03/2018,"0,139355","0,156773","0,120821","0,143491",18.964,977.450
06/03/2018,"0,151016","0,152365","0,127795","0,139536",12.210,1.059.240
05/03/2018,"0,158123","0,183702","0,140107","0,151435",9.427,1.109.090
04/03/2018,"0,193315","0,193876","0,158239","0,158239",19.098,1.355.930
03/03/2018,"0,180531","0,198221","0,152639","0,193649",22.396,1.266.260
02/03/2018,"0,189118","0,193902","0,135775","0,180751",13.798,1.326.490
01/03/2018,"0,165200","0,189605","0,138918","0,189605",9.980,1.158.730
28/02/2018,"0,205743","0,210403","0,158740","0,164957",23.721,1.443.090
27/02/2018,"0,170136","0,209622","0,165351","0,205985",20.800,1.193.350
26/02/2018,"0,128449","0,210312","0,128039","0,169646",27.601,900.955
25/02/2018,"0,228045","0,228045","0,128285","0,128285",25.217,1.599.530
24/02/2018,"0,171200","0,278069","0,163630","0,228440",52.791,1.200.810
23/02/2018,"0,145063","0,195242","0,140501","0,171417",15.746,1.017.480
22/02/2018,"0,113429","0,206436","0,113284","0,145199",11.197,795.600
21/02/2018,"0,257044","0,274591","0,069497","0,113542",28.240,1.590.220
20/02/2018,"0,247865","0,337672","0,226816","0,258210",128.171,1.533.280
19/02/2018,"0,143779","0,317849","0,112062","0,300313",258.889,889.370
18/02/2018,"0,114263","0,155983","0,108707","0,144443",6.117,706.767
17/02/2018,"0,147270","0,165080","0,102487","0,113914",9.700,910.834
16/02/2018,"0,152606","0,155375","0,102067","0,147304",5.047,943.720
15/02/2018,"0,099533","0,154332","0,090395","0,153261",13.752,615.438
14/02/2018,"0,072759","0,135891","0,072759","0,099479",7.274,449.621
13/02/2018,"0,070852","0,112771","0,068198","0,072976",2.585,437.806
12/02/2018,"0,079226","0,135034","0,044264","0,070723",11.348,489.492
11/02/2018,"0,111061","0,117388","0,058046","0,078851",15.775,686.145
10/02/2018,"0,073538","0,111411","0,033502","0,111242",23.507,454.302
09/02/2018,"0,069055","0,073712","0,041394","0,073485",2.200,426.585
08/02/2018,"0,045453","0,072084","0,028636","0,068843",3.353,280.767
07/02/2018,"0,038305","0,051368","0,036326","0,045636",144,236.595
06/02/2018,"0,068663","0,077709","0,030424","0,038693",1.304,424.071
05/02/2018,"0,032768","0,080323","0,020929","0,068576",7.255,202.369
04/02/2018,"0,018489","0,052536","0,016729","0,033089",230,114.169
03/02/2018,"0,047770","0,051719","0,018156","0,018479",12,294.955
02/02/2018,"0,051949","0,051949","0,030615","0,047608",539,320.720
01/02/2018,"0,054920","0,065887","0,049437","0,052057",4,339.013
31/01/2018,"0,057558","0,062341","0,053174","0,054793",116,355.241
30/01/2018,"0,062924","0,063063","0,044657","0,057468",241,388.300
29/01/2018,"0,048673","0,065121","0,045671","0,062903",1.171,300.315
28/01/2018,"0,045098","0,071052","0,044961","0,048720",2.338,278.208
27/01/2018,"0,043949","0,045805","0,042997","0,044868",163,271.075
26/01/2018,"0,072341","0,075218","0,042629","0,043978",592,446.123
25/01/2018,"0,040072","0,072534","0,039804","0,072534",3.714,247.083
24/01/2018,"0,081298","0,081603","0,039387","0,039423",3.313,501.214
23/01/2018,"0,086513","0,091163","0,047617","0,081345",2.401,533.269
22/01/2018,"0,103870","0,119028","0,056425","0,086743",3.941,640.107
21/01/2018,"0,070481","0,103485","0,067948","0,102469",117.201,434.260
20/01/2018,"0,057981","0,071665","0,051464","0,070317",2.635,357.201
19/01/2018,"0,045038","0,059995","0,037548","0,057358",22.496,277.425
18/01/2018,"0,047904","0,052164","0,037830","0,045516",1.854,295.044
17/01/2018,"0,049570","0,051852","0,029468","0,047720",2.440,305.263
16/01/2018,"0,037062","0,052189","0,033470","0,049823",20.335,228.198
15/01/2018,"0,049741","0,072438","0,037001","0,037016",1.702,306.224
14/01/2018,"0,057220","0,062225","0,035154","0,050105",3.102,352.153
13/01/2018,"0,048423","0,057698","0,048423","0,057183",19.924,297.957
12/01/2018,"0,054006","0,057604","0,032602","0,048478",1.456,332.262
11/01/2018,"0,061888","0,062114","0,034251","0,053652",10.360,380.738
10/01/2018,"0,058539","0,065676","0,036416","0,061958",625,360.101
09/01/2018,"0,056493","0,077083","0,048195","0,058463",1.621,347.432
08/01/2018,"0,043290","0,056719","0,035313","0,056648",8.602,265.763
07/01/2018,"0,050748","0,059744","0,042020","0,043350",626,311.438
06/01/2018,"0,026107","0,050921","0,025290","0,050785",521,160.198
05/01/2018,"0,052465","0,057832","0,025571","0,026086",305,321.889
04/01/2018,"0,016078","0,054959","0,015963","0,052455",144,98.628
03/01/2018,"0,038028","0,038443","0,015638","0,015990",2.423,233.262
02/01/2018,"0,033552","0,041750","0,032383","0,038163",2.387,205.788
01/01/2018,"0,042515","0,042515","0,032695","0,033555",585,260.699
31/12/2017,"0,100562","0,136007","0,042351","0,042351",4.330,616.628
30/12/2017,"0,042374","0,124617","0,030239","0,101660",12.470,259.405
29/12/2017,"0,057581","0,060186","0,035156","0,042481",1,352.466
28/12/2017,"0,060094","0,060523","0,044370","0,056991",464,367.806
27/12/2017,"0,039418","0,060854","0,038699","0,060220",4.180,241.233
26/12/2017,"0,013930","0,039390","0,013873","0,039390",407,85.242
25/12/2017,"0,013812","0,014164","0,012603","0,013944",11,84.520
24/12/2017,"0,017282","0,017344","0,003888","0,013670",43,105.748
23/12/2017,"0,014493","0,023268","0,014289","0,017142",77,88.674
22/12/2017,"0,014142","0,035674","0,010336","0,014357",643,86.521
21/12/2017,"0,041026","0,043083","0,013632","0,014093",28,250.978
20/12/2017,"0,020663","0,042160","0,015938","0,040918",562,126.393
19/12/2017,"0,028367","0,028469","0,019265","0,020683",53,173.468
18/12/2017,"0,032921","0,033201","0,027411","0,028342",29,201.289
17/12/2017,"0,054080","0,054080","0,014654","0,015540",0,330.567
16/12/2017,"0,025600","0,054500","0,025168","0,054073",168,156.458
15/12/2017,"0,033464","0,046715","0,025288","0,025565",1.351,204.485
14/12/2017,"0,045741","0,051195","0,016646","0,033414",427,279.458
13/12/2017,"0,062146","0,062792","0,016368","0,045888",2.413,379.628
12/12/2017,"0,072301","0,072301","0,016950","0,062094",2.295,441.595
